date,wins,x_g,deep,ppda_allowed,x_g_a,missed,ppda,h_a,team,pts,xpts,result,npx_g_d,deep_allowed,npx_g_a,scored,loses,draws,season,npx_g
2021-08-15 13:00:00,1,3.00939,10,"{att:245,def:10}",1.67926,2,"{att:244,def:21}",a,West Ham,3,2.268400000000000193978166862507350742816925048828125,w,0.41315000000000013,5,1.67926,4,0,0,2021-22,2.09241
2021-08-23 19:00:00,1,2.28613,5,"{att:284,def:22}",0.62676,1,"{att:327,def:14}",h,West Ham,3,2.498299999999999965183405947755090892314910888671875,w,1.65937,5,0.62676,4,0,0,2021-22,2.28613
2021-08-28 14:00:00,0,1.44748,11,"{att:169,def:19}",1.67658,2,"{att:302,def:27}",h,West Ham,1,1.134700000000000041922021409845910966396331787109375,d,-0.22909999999999986,6,1.67658,2,0,1,2021-22,1.44748
2021-09-11 14:00:00,0,0.725407,1,"{att:287,def:12}",0.692135,0,"{att:231,def:30}",a,West Ham,1,1.3385999999999997900346215828903950750827789306640625,d,0.03327200000000008,4,0.692135,0,0,1,2021-22,0.725407
2021-09-19 13:00:00,0,1.6671,7,"{att:226,def:18}",1.8954,2,"{att:336,def:20}",h,West Ham,0,1.184200000000000141398004416259936988353729248046875,l,-0.9894649999999999,7,1.8954,1,1,0,2021-22,0.905935
2021-09-25 14:00:00,1,1.98962,5,"{att:191,def:14}",1.1967,1,"{att:244,def:12}",a,West Ham,3,1.949899999999999966604491419275291264057159423828125,w,0.7929199999999998,8,1.1967,2,0,0,2021-22,1.98962
2021-10-03 13:00:00,0,1.37258,8,"{att:188,def:14}",1.30098,2,"{att:132,def:22}",h,West Ham,0,1.384799999999999808864004080533050000667572021484375,l,0.07159999999999989,1,1.30098,1,1,0,2021-22,1.37258
2021-10-17 13:00:00,1,2.03034,9,"{att:313,def:17}",0.854165,0,"{att:147,def:13}",a,West Ham,3,2.28000000000000024868995751603506505489349365234375,w,1.1761749999999997,8,0.854165,1,0,0,2021-22,2.03034
2021-10-24 13:00:00,1,1.73468,6,"{att:226,def:20}",0.672198,0,"{att:367,def:17}",h,West Ham,3,2.25419999999999998152588887023739516735076904296875,w,1.0624820000000001,2,0.672198,1,0,0,2021-22,1.73468
2021-10-31 16:30:00,1,2.66391,4,"{att:273,def:12}",0.687551,1,"{att:158,def:23}",a,West Ham,3,2.7567000000000003723243935382924973964691162109375,w,1.976359,3,0.687551,4,0,0,2021-22,2.66391
2021-11-07 16:30:00,1,1.25298,3,"{att:146,def:22}",1.45641,2,"{att:309,def:15}",h,West Ham,3,1.2138999999999999790389892950770445168018341064453125,w,-0.20343,16,1.45641,3,0,0,2021-22,1.25298
2021-11-20 15:00:00,0,0.436331,7,"{att:282,def:13}",1.31903,1,"{att:328,def:28}",a,West Ham,0,0.61380000000000001225686219186172820627689361572265625,l,-0.8826989999999999,5,1.31903,0,1,0,2021-22,0.436331
2021-11-28 14:00:00,0,0.171763,5,"{att:154,def:21}",2.72187,2,"{att:406,def:17}",a,West Ham,0,0.057900000000000000077715611723760957829654216766357421875,l,-2.550107,9,2.72187,1,1,0,2021-22,0.171763
2021-12-01 19:30:00,0,1.14679,5,"{att:99,def:28}",1.2607,1,"{att:321,def:24}",h,West Ham,1,1.2522000000000002017941369558684527873992919921875,d,-0.11390999999999996,10,1.2607,1,0,1,2021-22,1.14679
2021-12-04 12:30:00,1,2.0174,4,"{att:189,def:20}",1.37049,2,"{att:252,def:20}",h,West Ham,3,1.8787000000000002586375558166764676570892333984375,w,-0.11426000000000003,13,1.37049,3,0,0,2021-22,1.25623
2021-12-12 14:00:00,0,0.998813,8,"{att:194,def:17}",0.54801,0,"{att:122,def:17}",a,West Ham,1,1.7400000000000002131628207280300557613372802734375,d,0.45080299999999995,3,0.54801,0,0,1,2021-22,0.998813
2021-12-15 20:00:00,0,0.338855,0,"{att:200,def:22}",2.81482,2,"{att:242,def:18}",a,West Ham,0,0.09430000000000000881517081552374293096363544464111328125,l,-1.714795,13,2.05365,0,1,0,2021-22,0.338855
2021-12-26 15:00:00,0,1.53745,10,"{att:206,def:22}",1.35643,3,"{att:172,def:18}",h,West Ham,0,1.5153000000000000913047415451728738844394683837890625,l,0.942193,2,0.595257,2,1,0,2021-22,1.53745
2021-12-28 15:00:00,1,2.84084,6,"{att:208,def:23}",1.0143,1,"{att:137,def:29}",a,West Ham,3,2.577100000000000168398628375143744051456451416015625,w,1.0653700000000002,3,1.0143,4,0,0,2021-22,2.07967
2022-01-01 17:30:00,1,2.23146,4,"{att:153,def:15}",2.69204,2,"{att:334,def:34}",a,West Ham,3,1.0835000000000001296740492762182839214801788330078125,w,-1.22175,11,2.69204,3,0,0,2021-22,1.47029
2022-01-12 21:45:00,1,2.89217,12,"{att:285,def:10}",0.343347,0,"{att:191,def:20}",h,West Ham,3,2.864399999999999835154085303656756877899169921875,w,2.548823,4,0.343347,2,0,0,2021-22,2.89217
2022-01-16 14:00:00,0,2.3549,9,"{att:169,def:20}",2.26884,3,"{att:234,def:25}",h,West Ham,0,1.4292999999999997928767925259307958185672760009765625,l,0.08606000000000025,6,2.26884,2,1,0,2021-22,2.3549
2022-01-22 15:00:00,0,0.238027,3,"{att:229,def:19}",1.75857,1,"{att:296,def:25}",a,West Ham,0,0.1519999999999999962252417162744677625596523284912109375,l,-1.520543,12,1.75857,0,1,0,2021-22,0.238027
2022-02-08 19:45:00,1,0.905143,9,"{att:342,def:15}",0.335474,0,"{att:147,def:19}",h,West Ham,3,1.9581000000000001737276988933444954454898834228515625,w,0.569669,5,0.335474,1,0,0,2021-22,0.905143
2022-02-13 16:30:00,0,0.745068,7,"{att:249,def:22}",1.40693,2,"{att:333,def:21}",a,West Ham,1,0.760499999999999953814722175593487918376922607421875,d,0.09930699999999992,3,0.645761,2,0,1,2021-22,0.745068
2022-02-19 12:30:00,0,0.847948,7,"{att:193,def:16}",0.932574,1,"{att:234,def:10}",h,West Ham,1,1.240699999999999914024328973027877509593963623046875,d,-0.08462599999999998,9,0.932574,1,0,1,2021-22,0.847948
2022-02-27 14:00:00,1,1.62241,14,"{att:217,def:7}",0.892018,0,"{att:343,def:26}",h,West Ham,3,1.98580000000000023163693185779266059398651123046875,w,0.7303919999999999,7,0.892018,1,0,0,2021-22,1.62241
2022-03-05 17:30:00,0,1.33829,3,"{att:190,def:18}",2.18865,1,"{att:340,def:10}",a,West Ham,0,0.8007999999999999563016217507538385689258575439453125,l,-0.85036,13,2.18865,0,1,0,2021-22,1.33829
2022-03-13 14:00:00,1,1.58468,9,"{att:249,def:17}",1.05391,1,"{att:260,def:16}",h,West Ham,3,1.8245999999999999996447286321199499070644378662109375,w,0.5307700000000002,7,1.05391,2,0,0,2021-22,1.58468
2022-03-20 16:30:00,0,0.644964,3,"{att:335,def:17}",2.54795,3,"{att:371,def:15}",a,West Ham,0,0.25570000000000003836930773104541003704071044921875,l,-1.9029860000000003,5,2.54795,1,1,0,2021-22,0.644964
2022-04-03 13:00:00,1,1.49657,6,"{att:323,def:13}",0.657846,1,"{att:207,def:7}",h,West Ham,3,2.1227999999999997982058630441315472126007080078125,w,0.8387239999999999,9,0.657846,2,0,0,2021-22,1.49657
2022-04-10 13:00:00,0,0.244824,3,"{att:357,def:11}",1.85534,2,"{att:287,def:14}",a,West Ham,0,0.215299999999999991384669328908785246312618255615234375,l,-1.610516,14,1.85534,0,1,0,2021-22,0.244824
2022-04-17 13:15:00,0,2.79175,12,"{att:275,def:17}",1.88137,1,"{att:133,def:9}",h,West Ham,1,2.066700000000000425615098720300011336803436279296875,d,1.6715499999999999,4,1.1202,1,0,1,2021-22,2.79175
2022-04-24 13:00:00,0,0.388975,4,"{att:164,def:17}",2.34959,1,"{att:351,def:13}",a,West Ham,0,0.191000000000000003108624468950438313186168670654296875,l,-1.1994449999999999,13,1.58842,0,1,0,2021-22,0.388975
2022-05-01 15:30:00,0,0.451976,3,"{att:316,def:19}",0.964564,2,"{att:280,def:16}",h,West Ham,0,0.855199999999999960209606797434389591217041015625,l,-0.512588,4,0.964564,1,1,0,2021-22,0.451976
2022-05-08 13:00:00,1,3.25894,10,"{att:429,def:19}",0.77895,0,"{att:233,def:14}",a,West Ham,3,2.871899999999999675281969757634215056896209716796875,w,1.71882,5,0.77895,4,0,0,2021-22,2.49777
2022-05-15 13:00:00,0,1.0088,3,"{att:88,def:13}",2.14723,2,"{att:257,def:7}",h,West Ham,1,0.568599999999999994315658113919198513031005859375,d,-0.37726000000000015,19,1.38606,2,0,1,2021-22,1.0088
2022-05-22 15:00:00,0,0.268845,4,"{att:242,def:14}",1.67774,3,"{att:233,def:14}",a,West Ham,0,0.32350000000000000976996261670137755572795867919921875,l,-1.408895,21,1.67774,1,1,0,2021-22,0.268845
