date,wins,npxG,deep,ppda_allowed,missed,ppda,h_a,team,pts,xG,xpts,result,npxGD,npxGA,xGA,deep_allowed,scored,loses,draws,season
2020-09-13 13:00:00,1,1.4334700000000000219557705349870957434177398681640625,3,"{att:363,def:19}",0,"{att:179,def:17}",a,Leicester,3,2.955810000000000048459014578838832676410675048828125,2.90739999999999998436805981327779591083526611328125,w,1.080473000000000016740386854507960379123687744140625,0.3529970000000000052153836804791353642940521240234375,0.3529970000000000052153836804791353642940521240234375,6,3,0,0,2020-21
2020-09-20 18:00:00,1,0.987365000000000048174797484534792602062225341796875,14,"{att:338,def:21}",2,"{att:127,def:17}",h,Leicester,3,0.987365000000000048174797484534792602062225341796875,0.951200000000000045474735088646411895751953125,w,-0.5366750000000000131450406115618534386157989501953125,1.5240400000000000613198380960966460406780242919921875,1.5240400000000000613198380960966460406780242919921875,6,4,0,0,2020-21
2020-09-27 15:30:00,1,0.58370400000000000062527760746888816356658935546875,3,"{att:144,def:27}",2,"{att:301,def:12}",a,Leicester,3,2.8672100000000000363797880709171295166015625,2.43339999999999978541609380044974386692047119140625,w,-0.8626259999999998928643663020920939743518829345703125,1.4463299999999998934896439095609821379184722900390625,1.4463299999999998934896439095609821379184722900390625,5,5,0,0,2020-21
2020-10-04 11:00:00,0,0.456021999999999982922105346005992032587528228759765625,2,"{att:376,def:11}",3,"{att:161,def:22}",h,Leicester,0,0.456021999999999982922105346005992032587528228759765625,0.30940000000000000834887714518117718398571014404296875,l,-1.576248000000000093479002316598780453205108642578125,2.032270000000000020889956431346945464611053466796875,2.032270000000000020889956431346945464611053466796875,3,0,1,0,2020-21
2020-10-18 18:15:00,0,0.67159500000000005304201522449147887527942657470703125,4,"{att:212,def:23}",1,"{att:210,def:24}",h,Leicester,0,0.67159500000000005304201522449147887527942657470703125,1.1142000000000000792255150372511707246303558349609375,l,-0.202180999999999944094497550395317375659942626953125,0.87377599999999999713651277488679625093936920166015625,0.87377599999999999713651277488679625093936920166015625,7,0,1,0,2020-21
2020-10-25 19:15:00,1,0.7361720000000000485584905618452467024326324462890625,2,"{att:264,def:24}",0,"{att:367,def:14}",a,Leicester,3,0.7361720000000000485584905618452467024326324462890625,1.3486000000000000209610107049229554831981658935546875,w,-0.00326799999999993762145322762080468237400054931640625,0.73943999999999998617994378946605138480663299560546875,0.73943999999999998617994378946605138480663299560546875,5,1,0,0,2020-21
2020-11-02 20:00:00,1,2.315399999999999902655645200866274535655975341796875,5,"{att:155,def:23}",1,"{att:369,def:10}",a,Leicester,3,3.076569999999999804884964760276488959789276123046875,2.301600000000000090238927441532723605632781982421875,w,0.5671799999999997954347463746671564877033233642578125,1.7482200000000001072208988261991180479526519775390625,1.7482200000000001072208988261991180479526519775390625,7,4,0,0,2020-21
2020-11-08 14:00:00,1,0.53216600000000002790301323329913429915904998779296875,1,"{att:261,def:10}",0,"{att:296,def:20}",h,Leicester,3,2.05449999999999999289457264239899814128875732421875,2.58420000000000005258016244624741375446319580078125,w,-0.0471939999999999582058762825909070670604705810546875,0.57935999999999998610888951589004136621952056884765625,0.57935999999999998610888951589004136621952056884765625,6,1,0,0,2020-21
2020-11-22 19:15:00,0,1.9839700000000000112976294985855929553508758544921875,8,"{att:240,def:29}",3,"{att:380,def:21}",a,Leicester,0,1.9839700000000000112976294985855929553508758544921875,0.446099999999999941024952931911684572696685791015625,l,-1.7884800000000000697042423780658282339572906494140625,3.77245000000000008100187187665142118930816650390625,3.77245000000000008100187187665142118930816650390625,9,0,1,0,2020-21
2020-11-30 17:30:00,0,1.278140000000000053859139370615594089031219482421875,9,"{att:384,def:22}",2,"{att:136,def:24}",h,Leicester,0,1.278140000000000053859139370615594089031219482421875,0.78699999999999992184029906638897955417633056640625,l,0.002120000000000121787024909281171858310699462890625,1.27601999999999993207211446133442223072052001953125,2.03718999999999983430143402074463665485382080078125,7,1,1,0,2020-21
