date,wins,npxG,deep,ppda_allowed,missed,ppda,h_a,team,pts,xG,xpts,result,npxGD,npxGA,xGA,deep_allowed,scored,loses,draws,season
2020-09-14 17:00:00,0,0.949316000000000048686388254282064735889434814453125,10,"{att:188,def:6}",2,"{att:247,def:30}",h,Sheffield Utd,0,0.949316000000000048686388254282064735889434814453125,0.795500000000000095923269327613525092601776123046875,l,-0.66375399999999995515054251882247626781463623046875,1.613070000000000003836930773104541003704071044921875,1.613070000000000003836930773104541003704071044921875,3,0,1,0,2020-21
2020-09-21 17:00:00,0,0.08854040000000000520952170290911453776061534881591796875,2,"{att:89,def:20}",1,"{att:247,def:14}",a,Sheffield Utd,0,0.8497090000000000475921524412115104496479034423828125,1.46459999999999990194510246510617434978485107421875,l,-0.7167296000000000777419018049840815365314483642578125,0.80527000000000004131806008444982580840587615966796875,0.80527000000000004131806008444982580840587615966796875,17,0,1,0,2020-21
2020-09-27 11:00:00,0,1.5327800000000000313349346470204181969165802001953125,11,"{att:152,def:17}",1,"{att:335,def:29}",h,Sheffield Utd,0,1.5327800000000000313349346470204181969165802001953125,1.4471999999999998198774164848146028816699981689453125,l,0.06637000000000004007461029686965048313140869140625,1.4664099999999999912603243501507677137851715087890625,1.4664099999999999912603243501507677137851715087890625,2,0,1,0,2020-21
2020-10-04 13:00:00,0,0.144994000000000011763034990508458577096462249755859375,3,"{att:167,def:12}",2,"{att:445,def:23}",a,Sheffield Utd,0,0.144994000000000011763034990508458577096462249755859375,0.65800000000000002930988785010413266718387603759765625,l,-0.5221370000000000732853777662967331707477569580078125,0.66713100000000002953726152554736472666263580322265625,0.66713100000000002953726152554736472666263580322265625,4,1,1,0,2020-21
2020-10-18 11:00:00,0,0.90246400000000004393285735204699449241161346435546875,1,"{att:216,def:17}",1,"{att:349,def:23}",h,Sheffield Utd,1,1.663629999999999942161821309127844870090484619140625,1.6344000000000000749622586226905696094036102294921875,d,0.30751900000000009782752385945059359073638916015625,0.59494499999999994610533349259640090167522430419921875,1.3561099999999999266009353959816507995128631591796875,1,1,0,1,2020-21
2020-10-24 19:00:00,0,0.63670700000000002294342493769363500177860260009765625,8,"{att:170,def:12}",2,"{att:393,def:20}",a,Sheffield Utd,0,1.3978800000000000114397380457376129925251007080078125,0.61839999999999994972910144497291184961795806884765625,l,-1.76615300000000008395772965741343796253204345703125,2.402859999999999995878852132591418921947479248046875,2.402859999999999995878852132591418921947479248046875,7,1,1,0,2020-21
2020-10-31 12:30:00,0,0.68754400000000004400391162562300451099872589111328125,3,"{att:188,def:12}",1,"{att:449,def:24}",h,Sheffield Utd,0,0.68754400000000004400391162562300451099872589111328125,0.42239999999999999769073610877967439591884613037109375,l,-1.208886000000000127130306282197125256061553955078125,1.896430000000000060111915445304475724697113037109375,1.896430000000000060111915445304475724697113037109375,9,0,1,0,2020-21
2020-11-07 17:30:00,0,0.743967000000000044934722609468735754489898681640625,5,"{att:145,def:10}",4,"{att:470,def:16}",a,Sheffield Utd,0,0.743967000000000044934722609468735754489898681640625,0.18440000000000000834887714518117718398571014404296875,l,-2.132252999999999953928409013315103948116302490234375,2.876219999999999998863131622783839702606201171875,2.876219999999999998863131622783839702606201171875,14,1,1,0,2020-21
2020-11-22 14:00:00,0,0.69237400000000004496314431889913976192474365234375,7,"{att:254,def:17}",1,"{att:232,def:16}",h,Sheffield Utd,0,0.69237400000000004496314431889913976192474365234375,0.39990000000000003321787289678468368947505950927734375,l,-1.421825999999999812217765793320722877979278564453125,2.114199999999999857180910112219862639904022216796875,2.114199999999999857180910112219862639904022216796875,10,0,1,0,2020-21
2020-11-28 20:00:00,0,3.365439999999999987068122209166176617145538330078125,11,"{att:182,def:19}",1,"{att:198,def:15}",a,Sheffield Utd,0,3.365439999999999987068122209166176617145538330078125,2.38079999999999980531129040173254907131195068359375,l,1.64900000000000002131628207280300557613372802734375,1.716439999999999965751840136363171041011810302734375,1.716439999999999965751840136363171041011810302734375,6,0,1,0,2020-21
2020-12-06 14:15:00,0,0.29074299999999997368149706744588911533355712890625,3,"{att:111,def:20}",2,"{att:366,def:21}",h,Sheffield Utd,0,0.29074299999999997368149706744588911533355712890625,0.425100000000000033395508580724708735942840576171875,l,-1.099657000000000106609832073445431888103485107421875,1.390400000000000080291329140891321003437042236328125,1.390400000000000080291329140891321003437042236328125,5,1,1,0,2020-21
2020-12-13 12:00:00,0,0.219115000000000004209965709378593601286411285400390625,1,"{att:94,def:18}",3,"{att:370,def:28}",a,Sheffield Utd,0,0.219115000000000004209965709378593601286411285400390625,0.1313000000000000000444089209850062616169452667236328125,l,-2.060614999999999863433686186908744275569915771484375,2.27972999999999981213250066502951085567474365234375,2.27972999999999981213250066502951085567474365234375,7,0,1,0,2020-21
2020-12-17 20:00:00,0,1.2352499999999999591437926937942393124103546142578125,10,"{att:146,def:14}",3,"{att:312,def:29}",h,Sheffield Utd,0,1.2352499999999999591437926937942393124103546142578125,0.91579999999999994741983755375258624553680419921875,l,-0.5514200000000000212452277992269955575466156005859375,1.78666999999999998038902049302123486995697021484375,1.78666999999999998038902049302123486995697021484375,6,2,1,0,2020-21
2020-12-20 12:00:00,0,1.0371300000000001073630073733511380851268768310546875,4,"{att:76,def:10}",1,"{att:266,def:11}",a,Sheffield Utd,1,1.0371300000000001073630073733511380851268768310546875,0.29559999999999997388755446081631816923618316650390625,d,-1.8638399999999999412381157526397146284580230712890625,2.90097000000000004860112312599085271358489990234375,2.90097000000000004860112312599085271358489990234375,14,1,0,1,2020-21
