date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.07963220030069351,0,0,0.0,5,Sunderland,125208,0,John O&#039;Shea,2016,1,90,DC,3512,0.0,0.0,1,Chelsea,0.07963220030069351,0
2017-05-16,0.0,0,0,0.0,2,Sunderland,135104,0,John O&#039;Shea,2016,0,90,DC,3470,0.0,0.0,0,Arsenal,0.0,0
2017-05-13,0.0,0,0,0.0,0,Swansea,133767,0,John O&#039;Shea,2016,2,90,DC,3506,0.0,0.0,0,Sunderland,0.0,0
2017-05-06,0.020779099315404892,1,0,0.30540600419044495,0,Sunderland,134913,1,John O&#039;Shea,2016,2,90,DC,3494,0.47872400283813477,0.30540600419044495,1,Hull,0.020779099315404892,0
2017-04-29,0.0,0,0,0.07773750275373459,0,Bournemouth,134513,0,John O&#039;Shea,2016,1,90,DC,3486,0.0,0.07773750275373459,0,Sunderland,0.0,0
2017-04-26,0.0,0,0,0.024580899626016617,1,Sunderland,132855,0,John O&#039;Shea,2016,0,90,DC,3413,0.0,0.024580899626016617,0,Middlesbrough,0.0,0
2017-04-15,0.072148397564888,0,0,0.0,2,West Ham,134873,0,John O&#039;Shea,2016,2,90,DC,3464,0.0,0.0,1,Sunderland,0.072148397564888,0
2017-04-01,0.0,0,0,0.0,1,Sunderland,133207,0,John O&#039;Shea,2016,0,90,DC,3439,0.0,0.0,0,Watford,0.0,0
2017-03-18,0.0,0,0,0.02163279987871647,0,Burnley,133715,0,John O&#039;Shea,2016,0,90,DC,3423,0.0,0.02163279987871647,0,Sunderland,0.0,0
2017-03-05,0.0,0,0,0.0,0,Manchester City,133111,0,John O&#039;Shea,2016,2,90,DC,3404,0.0,0.0,0,Sunderland,0.0,0
2017-02-25,0.0,0,0,0.0,2,Sunderland,131613,0,John O&#039;Shea,2016,0,90,DC,3393,0.0,0.0,0,Everton,0.0,0
2017-02-11,0.0,0,0,0.0,0,Southampton,131154,0,John O&#039;Shea,2016,4,47,DC,3384,0.0,0.0,0,Sunderland,0.0,0
2017-02-04,0.0,0,0,0.0,0,Sunderland,129408,0,John O&#039;Shea,2016,4,60,DC,3371,0.0,0.0,0,Crystal Palace,0.0,0
2017-01-31,0.0,0,0,0.0,0,Tottenham,132234,0,John O&#039;Shea,2016,0,90,DC,3364,0.0,0.0,0,Sunderland,0.0,0
2017-01-21,0.0,0,0,0.04777050018310547,2,Sunderland,132030,0,John O&#039;Shea,2016,0,90,DC,3355,0.0,0.04777050018310547,0,West Bromwich Albion,0.0,0
2017-01-14,0.0,0,0,0.05805660039186478,1,Stoke,130740,0,John O&#039;Shea,2016,3,90,DC,3342,0.0,0.05805660039186478,0,Sunderland,0.0,0
2017-01-02,0.0,0,0,0.0,2,Liverpool,129754,0,John O&#039;Shea,2016,2,90,DC,3334,0.0,0.0,0,Sunderland,0.0,0
2016-12-31,0.0,0,0,0.01396809983998537,4,Sunderland,130126,0,John O&#039;Shea,2016,1,76,DMC,3157,0.0,0.01396809983998537,0,Burnley,0.0,0
2016-12-17,0.0,0,0,0.0,1,Watford,128709,0,John O&#039;Shea,2016,0,8,Sub,3139,0.0,0.0,0,Sunderland,0.0,0
2016-12-14,0.0,0,0,0.09411600232124329,0,Chelsea,130792,0,John O&#039;Shea,2016,1,90,DC,3128,0.0,0.09411600232124329,0,Sunderland,0.0,0
2016-11-26,0.0,0,0,0.024898499250411987,2,Sunderland,128086,0,John O&#039;Shea,2016,0,90,DC,2710,0.0,0.024898499250411987,0,Liverpool,0.0,0
2016-11-19,0.0,0,0,0.0,3,Hull,128683,0,John O&#039;Shea,2016,0,4,Sub,2700,0.0,0.0,0,Sunderland,0.0,0
2016-10-29,0.0,0,0,0.0,1,Arsenal,127795,0,John O&#039;Shea,2016,4,41,DC,2677,0.0,0.0,0,Sunderland,0.0,0
2016-10-22,0.0,0,0,0.11153899878263474,1,Sunderland,127474,0,John O&#039;Shea,2016,0,90,DC,542,0.0,0.11153899878263474,0,West Ham,0.0,0
2016-10-15,0.0,0,0,0.15442299842834473,2,Sunderland,126928,0,John O&#039;Shea,2016,0,90,DC,535,0.0,0.15442299842834473,0,Stoke,0.0,0
2016-10-01,0.0,0,0,0.41474100947380066,1,West Bromwich Albion,127268,0,John O&#039;Shea,2016,1,90,DC,523,0.0,0.41474100947380066,0,Sunderland,0.0,0
2016-08-21,0.0,0,0,0.01565149985253811,1,Middlesbrough,125525,0,John O&#039;Shea,2016,2,36,DC,479,0.0,0.01565149985253811,0,Sunderland,0.0,0
2016-08-13,0.0,0,0,0.0,2,Sunderland,125075,0,John O&#039;Shea,2016,1,90,DMC,467,0.0,0.0,0,Manchester City,0.0,0
