date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2017-05-21,0.07510770112276077,1,0,0.10499899834394455,0,Manchester City,125394,0,M&#039;Baye Niang,2016,5,76,AML,3519,0.029891500249505043,0.0,2,Watford,0.07510770112276077,0
2017-05-15,0.018780099228024483,0,0,0.3341690003871918,4,Watford,132420,0,M&#039;Baye Niang,2016,3,74,FW,3414,0.0,0.3341690003871918,1,Chelsea,0.018780099228024483,0
2017-05-12,0.0468037985265255,0,0,0.06993059813976288,1,Watford,135284,0,M&#039;Baye Niang,2016,0,6,Sub,3502,0.0,0.02312679961323738,1,Everton,0.0468037985265255,0
2017-05-06,0.012705899775028229,0,0,0.08605849742889404,3,Watford,134975,0,M&#039;Baye Niang,2016,0,85,FW,3495,0.0,0.07335250079631805,1,Leicester,0.012705899775028229,0
2017-05-01,0.03925370052456856,0,0,0.05396860092878342,0,Liverpool,134574,0,M&#039;Baye Niang,2016,1,90,FW,3488,0.0,0.014714900404214859,1,Watford,0.03925370052456856,0
2017-04-22,0.029270799830555916,0,0,0.059581201523542404,2,Watford,134205,0,M&#039;Baye Niang,2016,0,90,AML,3474,0.0,0.03031039983034134,2,Hull,0.029270799830555916,0
2017-04-15,0.152756005525589,0,0,0.0636536031961441,1,Swansea,134989,0,M&#039;Baye Niang,2016,0,79,FWL,3466,0.0,0.03319400176405907,3,Watford,0.152756005525589,0
2017-04-08,0.022990699857473373,2,0,0.0786605030298233,4,Watford,133815,0,M&#039;Baye Niang,2016,0,90,ML,3453,0.05566979944705963,0.0,1,Tottenham,0.022990699857473373,0
2017-04-04,0.12268500030040741,2,1,0.5058940052986145,2,West Bromwich Albion,132544,1,M&#039;Baye Niang,2016,0,84,ML,3443,0.4535599946975708,0.3832089900970459,3,Watford,0.12268500030040741,1
2017-04-01,0.24621400237083435,1,0,0.2689650058746338,1,Sunderland,133200,0,M&#039;Baye Niang,2016,0,89,ML,3439,0.022751199081540108,0.0,4,Watford,0.24621400237083435,0
2017-03-18,0.06753720343112946,0,0,0.12426099926233292,1,Watford,133186,0,M&#039;Baye Niang,2016,0,90,ML,3428,0.0,0.056724101305007935,2,Crystal Palace,0.06753720343112946,0
2017-03-04,0.07615700364112854,0,0,0.06463640183210373,3,Southampton,133445,0,M&#039;Baye Niang,2016,4,90,FWR,3407,0.0,0.0,3,Watford,0.07615700364112854,0
2017-02-25,0.09217079728841782,0,0,0.09217079728841782,1,West Ham,132049,0,M&#039;Baye Niang,2016,1,90,FWR,3396,0.0,0.0,2,Watford,0.09217079728841782,0
2017-02-11,0.022903399541974068,1,0,0.3158330023288727,2,Watford,130841,0,M&#039;Baye Niang,2016,0,90,AMC,3381,0.2758849859237671,0.017044400796294212,1,Manchester United,0.022903399541974068,0
2017-02-04,0.22266800701618195,2,1,1.3913899660110474,2,Burnley,130171,1,M&#039;Baye Niang,2016,1,83,FWR,3374,1.013800024986267,0.7480970025062561,4,Watford,0.22266800701618195,1
2017-01-31,0.025569699704647064,0,0,0.025569699704647064,1,Watford,132091,0,M&#039;Baye Niang,2016,2,72,ML,3360,0.0,0.0,1,Arsenal,0.025569699704647064,0
2017-01-21,0.0,0,0,0.0,1,Napoli,161996,0,M&#039;Baye Niang,2016,2,3,Sub,3541,0.0,0.0,0,AC Milan,0.0,0
2017-01-16,0.0,0,0,0.0,2,AC Milan,161483,0,M&#039;Baye Niang,2016,2,5,Sub,3539,0.0,0.0,0,Torino,0.0,0
2017-01-08,0.2081110030412674,2,0,0.3225570023059845,1,Cagliari,171206,0,M&#039;Baye Niang,2016,0,90,FWL,3528,0.06136240065097809,0.16506199538707733,6,AC Milan,0.2081110030412674,0
2016-12-17,0.0,0,0,0.0,0,Atalanta,170093,0,M&#039;Baye Niang,2016,0,1,Sub,3088,0.0,0.0,0,AC Milan,0.0,0
2016-12-13,0.7829399704933167,0,0,0.035079799592494965,1,AC Milan,169600,0,M&#039;Baye Niang,2016,0,90,FWL,3085,0.0,0.013438500463962555,2,Roma,0.02164129912853241,0
2016-12-04,0.8602290153503418,0,0,0.09905199706554413,2,Crotone,168945,0,M&#039;Baye Niang,2016,1,81,FWL,3068,0.0,0.0,3,AC Milan,0.09905199706554413,0
2016-11-26,0.0,0,0,0.0,1,AC Milan,168517,0,M&#039;Baye Niang,2016,4,11,Sub,2767,0.0,0.0,0,Empoli,0.0,0
2016-11-20,0.0,0,0,0.0,2,Inter,167913,0,M&#039;Baye Niang,2016,2,80,FWL,2765,0.0,0.0,0,AC Milan,0.0,0
2016-10-30,0.09588880091905594,1,0,0.9903929829597473,1,Pescara,166795,0,M&#039;Baye Niang,2016,0,63,FWL,3294,0.46803799271583557,0.9523040056228638,3,AC Milan,0.09588880091905594,0
