date,wins,x_g,deep,ppda_allowed,x_g_a,missed,ppda,h_a,team,pts,xpts,result,npx_g_d,deep_allowed,npx_g_a,scored,loses,draws,season,npx_g
2018-08-12 18:00:00,1,2.0178,8,"{att:339,def:25}",0.445187,0,"{att:241,def:22}",a,Man City,3,2.579099999999999948130380289512686431407928466796875,w,1.5726129999999998,8,0.445187,2,0,0,2018-19,2.0178
2018-08-19 15:30:00,1,4.60356,17,"{att:317,def:9}",0.663731,1,"{att:101,def:11}",h,Man City,3,2.9558999999999997498889570124447345733642578125,w,3.939829,4,0.663731,6,0,0,2018-19,4.60356
2018-08-25 14:30:00,0,1.84293,10,"{att:366,def:16}",1.26376,1,"{att:123,def:18}",a,Man City,1,1.8124000000000000110134124042815528810024261474609375,d,0.57917,2,1.26376,1,0,1,2018-19,1.84293
2018-09-01 16:30:00,1,2.46904,9,"{att:396,def:13}",0.554763,1,"{att:97,def:11}",h,Man City,3,2.63510000000000044195758164278231561183929443359375,w,1.9142770000000002,2,0.554763,2,0,0,2018-19,2.46904
2018-09-15 14:00:00,1,4.91621,22,"{att:420,def:11}",0.342698,0,"{att:228,def:21}",h,Man City,3,2.991899999999999781863380121649242937564849853515625,w,4.573512,3,0.342698,3,0,0,2018-19,4.91621
2018-09-22 14:00:00,1,3.08415,18,"{att:540,def:8}",0.0980726,0,"{att:107,def:14}",a,Man City,3,2.920900000000000051869619710487313568592071533203125,w,2.9860774,2,0.0980726,5,0,0,2018-19,3.08415
2018-09-29 14:00:00,1,2.90697,21,"{att:330,def:10}",0.23023,0,"{att:115,def:19}",h,Man City,3,2.889900000000000357402996087330393493175506591796875,w,2.6767399999999997,0,0.23023,2,0,0,2018-19,2.90697
2018-10-07 15:30:00,0,1.07481,4,"{att:347,def:15}",0.433994,0,"{att:333,def:22}",a,Man City,1,2.080799999999999982946974341757595539093017578125,d,-0.12035299999999999,3,0.433994,0,0,1,2018-19,0.313641
2018-10-20 14:00:00,1,4.48577,18,"{att:390,def:10}",0.370236,0,"{att:179,def:19}",h,Man City,3,2.96640000000000014779288903810083866119384765625,w,4.115533999999999,1,0.370236,5,0,0,2018-19,4.48577
2018-10-29 19:00:00,1,1.93588,15,"{att:277,def:26}",0.442436,0,"{att:290,def:22}",a,Man City,3,2.53019999999999978257392285740934312343597412109375,w,1.493444,4,0.442436,1,0,0,2018-19,1.93588
2018-11-04 15:00:00,1,2.76272,35,"{att:417,def:14}",1.81466,1,"{att:179,def:20}",h,Man City,3,2.015899999999999803179662194452248513698577880859375,w,1.7092299999999998,4,1.05349,6,0,0,2018-19,2.76272
2018-11-11 16:30:00,1,2.02764,16,"{att:384,def:19}",0.97089,1,"{att:240,def:19}",h,Man City,3,2.231899999999999995026200849679298698902130126953125,w,1.8179189999999998,5,0.209721,3,0,0,2018-19,2.02764
2018-11-24 15:00:00,1,2.95852,11,"{att:524,def:18}",0.829504,0,"{att:190,def:13}",a,Man City,3,2.80299999999999993605115378159098327159881591796875,w,2.129016,6,0.829504,4,0,0,2018-19,2.95852
2018-12-01 15:00:00,1,2.83557,10,"{att:472,def:7}",0.715009,1,"{att:149,def:24}",h,Man City,3,2.737899999999999778310666442848742008209228515625,w,2.1205610000000004,6,0.715009,3,0,0,2018-19,2.83557
