date,wins,npxG,deep,ppda_allowed,missed,ppda,h_a,team,pts,xG,xpts,result,npxGD,npxGA,xGA,deep_allowed,scored,loses,draws,season
2017-08-13 13:30:00,0,0.63463300000000000267164068645797669887542724609375,2,"{att:114,def:16}",2,"{att:413,def:14}",h,Newcastle,0,0.63463300000000000267164068645797669887542724609375,0.281899999999999983923970603427733294665813446044921875,l,-1.709547000000000149810830407659523189067840576171875,2.344180000000000152482471094117499887943267822265625,2.344180000000000152482471094117499887943267822265625,8,0,1,0,2017-18
2017-08-20 13:30:00,0,0.973322000000000020492052499321289360523223876953125,5,"{att:218,def:28}",1,"{att:263,def:19}",a,Newcastle,0,0.973322000000000020492052499321289360523223876953125,2.047200000000000130739863379858434200286865234375,l,0.70631399999999999739230815976043231785297393798828125,0.26700800000000002309974433956085704267024993896484375,0.26700800000000002309974433956085704267024993896484375,2,0,1,0,2017-18
2017-08-26 15:00:00,1,2.761070000000000135287336888723075389862060546875,7,"{att:97,def:17}",0,"{att:295,def:26}",h,Newcastle,3,2.761070000000000135287336888723075389862060546875,2.78390000000000004121147867408581078052520751953125,w,2.202586000000000154841472976841032505035400390625,0.55848399999999998044586391188204288482666015625,0.55848399999999998044586391188204288482666015625,0,3,0,0,2017-18
2017-09-10 16:00:00,1,1.0317700000000000759570184527547098696231842041015625,2,"{att:152,def:19}",0,"{att:303,def:32}",a,Newcastle,3,1.0317700000000000759570184527547098696231842041015625,0.9505999999999998895106045893044210970401763916015625,w,-0.4539699999999999846522769075818359851837158203125,1.4857400000000000606092953603365458548069000244140625,1.4857400000000000606092953603365458548069000244140625,6,1,0,0,2017-18
2017-09-16 15:00:00,1,2.659800000000000164135371960583142936229705810546875,3,"{att:137,def:19}",1,"{att:208,def:20}",h,Newcastle,3,2.659800000000000164135371960583142936229705810546875,2.65730000000000021742607714259065687656402587890625,w,1.984017000000000141568534672842361032962799072265625,0.67578300000000002256683728774078190326690673828125,0.67578300000000002256683728774078190326690673828125,5,2,0,0,2017-18
2017-09-24 16:00:00,0,1.3700099999999999500488456760649569332599639892578125,11,"{att:221,def:14}",1,"{att:234,def:16}",a,Newcastle,0,1.3700099999999999500488456760649569332599639892578125,2.13680000000000003268496584496460855007171630859375,l,0.862668999999999908112613411503843963146209716796875,0.5073410000000000419362322645611129701137542724609375,0.5073410000000000419362322645611129701137542724609375,5,0,1,0,2017-18
2017-10-01 16:30:00,0,0.280436999999999991839416679795249365270137786865234375,2,"{att:148,def:21}",1,"{att:342,def:16}",h,Newcastle,1,0.280436999999999991839416679795249365270137786865234375,0.29090000000000004742872761198668740689754486083984375,d,-1.3643129999999998869242290311376564204692840576171875,1.6447499999999999342747969421907328069210052490234375,1.6447499999999999342747969421907328069210052490234375,8,1,0,1,2017-18
2017-10-15 16:00:00,0,0.95099699999999998123456634857575409114360809326171875,6,"{att:185,def:26}",2,"{att:359,def:20}",a,Newcastle,1,0.95099699999999998123456634857575409114360809326171875,0.745999999999999996447286321199499070644378662109375,d,-0.002280999999999977490006131120026111602783203125,0.95327799999999995872457247969578020274639129638671875,1.7144500000000000294875235340441577136516571044921875,9,2,0,1,2017-18
2017-10-21 15:00:00,1,0.2703130000000000254800625043571926653385162353515625,4,"{att:270,def:26}",0,"{att:180,def:25}",h,Newcastle,3,0.2703130000000000254800625043571926653385162353515625,0.93200000000000005062616992290713824331760406494140625,w,-0.29653200000000001779199010343290865421295166015625,0.5668450000000000432720526077901013195514678955078125,0.5668450000000000432720526077901013195514678955078125,3,1,0,0,2017-18
2017-10-30 20:00:00,0,0.51636899999999996691002479565213434398174285888671875,5,"{att:297,def:20}",1,"{att:237,def:20}",a,Newcastle,0,0.51636899999999996691002479565213434398174285888671875,0.814599999999999990762944435118697583675384521484375,l,-0.51073099999999993503507766945404000580310821533203125,1.02709999999999990194510246510617434978485107421875,1.02709999999999990194510246510617434978485107421875,6,0,1,0,2017-18
2017-11-04 15:00:00,0,0.676090999999999997527311279554851353168487548828125,4,"{att:189,def:19}",1,"{att:187,def:21}",h,Newcastle,0,0.676090999999999997527311279554851353168487548828125,0.8263000000000000344613226843648590147495269775390625,l,-0.6109389999999998988045035730465315282344818115234375,1.2870299999999998963318148526013828814029693603515625,1.2870299999999998963318148526013828814029693603515625,12,0,1,0,2017-18
2017-11-18 17:30:00,0,1.0870800000000000462563320979825221002101898193359375,6,"{att:192,def:20}",4,"{att:346,def:16}",a,Newcastle,0,1.0870800000000000462563320979825221002101898193359375,0.45079999999999997850608224325696937739849090576171875,l,-1.4871600000000000374456021745572797954082489013671875,2.574240000000000083701934272539801895618438720703125,2.574240000000000083701934272539801895618438720703125,14,1,1,0,2017-18
2017-11-25 15:00:00,0,0.860020000000000006679101716144941747188568115234375,10,"{att:254,def:28}",3,"{att:237,def:25}",h,Newcastle,0,0.860020000000000006679101716144941747188568115234375,0.5380000000000000337507799486047588288784027099609375,l,-1.198420000000000040785153032629750669002532958984375,2.05844000000000004746425474877469241619110107421875,2.05844000000000004746425474877469241619110107421875,7,0,1,0,2017-18
2017-11-28 20:00:00,0,1.1342000000000000969890834312536753714084625244140625,3,"{att:221,def:23}",2,"{att:216,def:21}",a,Newcastle,1,1.1342000000000000969890834312536753714084625244140625,1.6184000000000000607514039074885658919811248779296875,d,0.28887300000000004640554607249214313924312591552734375,0.84532700000000005058353735876153223216533660888671875,0.84532700000000005058353735876153223216533660888671875,2,2,0,1,2017-18
2017-12-02 12:30:00,0,0.519549000000000038568259697058238089084625244140625,0,"{att:229,def:25}",3,"{att:436,def:31}",a,Newcastle,0,0.519549000000000038568259697058238089084625244140625,0.1060999999999999998667732370449812151491641998291015625,l,-1.797220999999999957452700982685200870037078857421875,2.3167699999999999960209606797434389591217041015625,3.0779399999999998982502802391536533832550048828125,20,1,1,0,2017-18
2017-12-09 17:30:00,0,0.96465699999999998670574541392852552235126495361328125,5,"{att:172,def:17}",3,"{att:313,def:33}",h,Newcastle,0,0.96465699999999998670574541392852552235126495361328125,1.87000000000000010658141036401502788066864013671875,l,0.52055799999999996519051137511269189417362213134765625,0.444099000000000021515234038815833628177642822265625,0.444099000000000021515234038815833628177642822265625,4,2,1,0,2017-18
2017-12-13 19:45:00,0,0.57065799999999999858601995583740063011646270751953125,2,"{att:273,def:26}",1,"{att:249,def:21}",h,Newcastle,0,0.57065799999999999858601995583740063011646270751953125,0.506099999999999994315658113919198513031005859375,l,-0.81653199999999992453325603491975925862789154052734375,1.387189999999999923119275990757159888744354248046875,1.387189999999999923119275990757159888744354248046875,1,0,1,0,2017-18
2017-12-16 15:00:00,0,0.28654699999999999615596379953785799443721771240234375,2,"{att:141,def:34}",1,"{att:399,def:20}",a,Newcastle,0,0.28654699999999999615596379953785799443721771240234375,0.259300000000000030464519795714295469224452972412109375,l,-1.738172999999999746023604529909789562225341796875,2.024719999999999853201870791963301599025726318359375,2.024719999999999853201870791963301599025726318359375,21,0,1,0,2017-18
2017-12-23 15:00:00,1,1.9062200000000000255084842137875966727733612060546875,3,"{att:105,def:16}",2,"{att:219,def:18}",a,Newcastle,3,1.9062200000000000255084842137875966727733612060546875,1.066500000000000003552713678800500929355621337890625,w,0.3484100000000001084998757505672983825206756591796875,1.557809999999999917008608463220298290252685546875,2.318979999999999819237928022630512714385986328125,9,3,0,0,2017-18
2017-12-27 19:45:00,0,0.17470499999999999918287585387588478624820709228515625,1,"{att:95,def:18}",1,"{att:448,def:16}",h,Newcastle,0,0.17470499999999999918287585387588478624820709228515625,0.2144000000000000072386541205560206435620784759521484375,l,-1.757165000000000087965190687100403010845184326171875,1.931869999999999976125764078460633754730224609375,1.931869999999999976125764078460633754730224609375,12,0,1,0,2017-18
2017-12-30 15:00:00,0,0.50437900000000002176392399633186869323253631591796875,2,"{att:201,def:15}",0,"{att:287,def:21}",h,Newcastle,1,0.50437900000000002176392399633186869323253631591796875,1.1257999999999999118927007657475769519805908203125,d,-0.12567899999999998517097310468670912086963653564453125,0.6300580000000000069348971010185778141021728515625,0.6300580000000000069348971010185778141021728515625,1,0,0,1,2017-18
2018-01-01 15:00:00,1,2.020280000000000075743855632026679813861846923828125,4,"{att:175,def:21}",0,"{att:274,def:22}",a,Newcastle,3,2.020280000000000075743855632026679813861846923828125,1.763799999999999812416717759333550930023193359375,w,0.5199900000000001742961330819525755941867828369140625,1.5002899999999999014477225500741042196750640869140625,1.5002899999999999014477225500741042196750640869140625,6,1,0,0,2017-18
2018-01-13 15:00:00,0,1.8272999999999999243271986415493302047252655029296875,5,"{att:191,def:12}",1,"{att:304,def:29}",h,Newcastle,1,1.8272999999999999243271986415493302047252655029296875,2.077900000000000080291329140891321003437042236328125,d,0.93152599999999996516208966568228788673877716064453125,0.89577399999999995916510897586704231798648834228515625,0.89577399999999995916510897586704231798648834228515625,4,1,0,1,2017-18
2018-01-20 17:30:00,0,0.99201799999999995538502162162330932915210723876953125,1,"{att:74,def:19}",3,"{att:347,def:21}",a,Newcastle,0,0.99201799999999995538502162162330932915210723876953125,0.3947000000000000508038056068471632897853851318359375,l,-0.79731200000000013172751778256497345864772796630859375,1.789330000000000087112539404188282787799835205078125,2.550499999999999989341858963598497211933135986328125,21,1,1,0,2017-18
2018-01-31 19:45:00,0,1.761579999999999923687710179365240037441253662109375,6,"{att:187,def:28}",1,"{att:166,def:22}",h,Newcastle,1,2.522749999999999825917029738775454461574554443359375,2.310700000000000198241423277067951858043670654296875,d,0.5332999999999998852473481747438199818134307861328125,1.2282800000000000384403620046214200556278228759765625,1.2282800000000000384403620046214200556278228759765625,6,1,0,1,2017-18
2018-02-04 14:15:00,0,1.1440799999999999858601995583740063011646270751953125,2,"{att:197,def:20}",1,"{att:216,def:15}",a,Newcastle,1,1.1440799999999999858601995583740063011646270751953125,0.314200000000000034816594052244909107685089111328125,d,-1.0971300000000001606537125553586520254611968994140625,2.241210000000000146513912113732658326625823974609375,3.002380000000000048743231673142872750759124755859375,11,1,0,1,2017-18
2018-02-11 14:15:00,1,0.67665600000000003522160341162816621363162994384765625,4,"{att:170,def:22}",0,"{att:322,def:24}",h,Newcastle,3,0.67665600000000003522160341162816621363162994384765625,0.59560000000000001829647544582257978618144989013671875,w,-1.043293999999999943639750199508853256702423095703125,1.7199500000000000898836560736526735126972198486328125,1.7199500000000000898836560736526735126972198486328125,13,1,0,0,2017-18
2018-02-24 15:00:00,0,4.23566999999999982406961862579919397830963134765625,7,"{att:173,def:25}",2,"{att:292,def:21}",a,Newcastle,1,4.23566999999999982406961862579919397830963134765625,2.905200000000000226663132707471959292888641357421875,d,3.02920999999999995822008713730610907077789306640625,1.2064600000000000878941364135243929922580718994140625,1.2064600000000000878941364135243929922580718994140625,12,2,0,1,2017-18
2018-03-03 17:30:00,0,0.255321999999999993402610698467469774186611175537109375,4,"{att:168,def:36}",2,"{att:466,def:16}",a,Newcastle,0,0.255321999999999993402610698467469774186611175537109375,0.34379999999999999449329379785922355949878692626953125,l,-1.314027999999999973823605614597909152507781982421875,1.5693500000000000227373675443232059478759765625,1.5693500000000000227373675443232059478759765625,13,0,1,0,2017-18
2018-03-10 15:00:00,1,1.358470000000000066364691519993357360363006591796875,5,"{att:112,def:20}",0,"{att:257,def:24}",h,Newcastle,3,1.358470000000000066364691519993357360363006591796875,2.19920000000000026574298317427746951580047607421875,w,0.8617470000000000407425204684841446578502655029296875,0.4967230000000000256221710515092127025127410888671875,0.4967230000000000256221710515092127025127410888671875,2,3,0,0,2017-18
2018-03-31 15:00:00,1,2.536169999999999813411477589397691190242767333984375,5,"{att:359,def:26}",0,"{att:135,def:23}",h,Newcastle,3,2.536169999999999813411477589397691190242767333984375,2.83119999999999993889332472463138401508331298828125,w,2.25532299999999974460251905838958919048309326171875,0.280847000000000013297807299750274978578090667724609375,0.280847000000000013297807299750274978578090667724609375,1,1,0,0,2017-18
2018-04-07 14:00:00,1,0.285115999999999980563103463282459415495395660400390625,1,"{att:116,def:15}",1,"{att:282,def:16}",a,Newcastle,3,0.285115999999999980563103463282459415495395660400390625,0.4132000000000000117239551400416530668735504150390625,w,-0.8071240000000001746371935951174236834049224853515625,1.0922400000000000996891458271420560777187347412109375,1.0922400000000000996891458271420560777187347412109375,4,2,0,0,2017-18
2018-04-15 12:30:00,1,0.88845200000000001949729266925714910030364990234375,6,"{att:132,def:27}",1,"{att:422,def:27}",h,Newcastle,3,0.88845200000000001949729266925714910030364990234375,0.935000000000000053290705182007513940334320068359375,w,-0.5269280000000000629967189524904824793338775634765625,1.4153800000000000824940116217476315796375274658203125,1.4153800000000000824940116217476315796375274658203125,10,2,0,0,2017-18
2018-04-23 19:00:00,0,0.480957000000000023387514147543697617948055267333984375,9,"{att:172,def:28}",1,"{att:289,def:27}",a,Newcastle,0,0.480957000000000023387514147543697617948055267333984375,0.8529999999999999804600747665972448885440826416015625,l,-0.467576999999999964874319857699447311460971832275390625,0.948533999999999988261834005243144929409027099609375,0.948533999999999988261834005243144929409027099609375,7,0,1,0,2017-18
2018-04-28 14:00:00,0,1.5839700000000001001154714685981161892414093017578125,11,"{att:296,def:21}",1,"{att:150,def:18}",h,Newcastle,0,1.5839700000000001001154714685981161892414093017578125,2.094799999999999773336867292528040707111358642578125,l,0.88087400000000004585132273859926499426364898681640625,0.70309600000000005426414872999885119497776031494140625,0.70309600000000005426414872999885119497776031494140625,5,0,1,0,2017-18
2018-05-05 15:00:00,0,0.6139010000000000299991143037914298474788665771484375,6,"{att:318,def:18}",2,"{att:215,def:14}",a,Newcastle,0,0.6139010000000000299991143037914298474788665771484375,0.1252999999999999947153384027842548675835132598876953125,l,-1.286089000000000037715608414146117866039276123046875,1.8999900000000000677147227179375477135181427001953125,2.812460000000000182041048901737667620182037353515625,2,1,1,0,2017-18
2018-05-09 20:00:00,0,0.8296989999999999643165438101277686655521392822265625,6,"{att:140,def:29}",1,"{att:287,def:15}",a,Newcastle,0,0.8296989999999999643165438101277686655521392822265625,1.3236999999999998767208353456226177513599395751953125,l,-0.00554200000000004688871513280901126563549041748046875,0.83524100000000001120525894293677993118762969970703125,0.83524100000000001120525894293677993118762969970703125,12,0,1,0,2017-18
2018-05-13 15:00:00,1,2.241969999999999796358451931155286729335784912109375,4,"{att:197,def:23}",0,"{att:321,def:31}",h,Newcastle,3,2.241969999999999796358451931155286729335784912109375,2.533799999999999830180286153336055576801300048828125,w,1.3986859999999996517772160586901009082794189453125,0.84328400000000003355893340994953177869319915771484375,0.84328400000000003355893340994953177869319915771484375,3,3,0,0,2017-18
